accession,gene,name
A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61
A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60
A0A075B6I6,IGLV1-50,Probable non-functional immunoglobulin lambda variable 1-50
A0A075B6I7,IGLV5-48,Probable non-functional immunoglobulin lambda variable 5-48
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46
A0A075B6J2,IGLV2-33,Probable non-functional immunoglobulin lambda variable 2-33
A0A075B6J6,IGLV3-22,Immunoglobulin lambda variable 3-22
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18
A0A075B6K0,IGLV3-16,Immunoglobulin lambda variable 3-16
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9
A0A075B6K6,IGLV4-3,Immunoglobulin lambda variable 4-3
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64
A0A075B6S2,IGKV2D-29,Immunoglobulin kappa variable 2D-29
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45
A0A087WSZ0,IGKV1D-8,Immunoglobulin kappa variable 1D-8
A0A0A0MRZ9,IGLV5-52,Immunoglobulin lambda variable 5-52
A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49
A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72
A0A0B4J275,TRAV17,T cell receptor alpha variable 17
A0A0B4J2H0,IGHV1-69D,Immunoglobulin heavy variable 1-69D
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20
A0A0C4DH26,IGKV6D-41,Probable non-functional immunoglobulin kappa variable 6D-41
A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18
A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D
A0A0C4DH55,IGKV3D-7,Immunoglobulin kappa variable 3D-7
A0A0G2JMI3,IGHV1-69-2,Immunoglobulin heavy variable 1-69-2
A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D
A0A0J9YX57,MAGEB6B,Melanoma-associated antigen B6B
A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85
A0A1W2PQ73,ERFL,ETS domain-containing transcription factor ERF-like
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29
M5A8F1,ERVH48-1,Suppressyn
O00151,PDLIM1,PDZ and LIM domain protein 1
O00187,MASP2,Mannan-binding lectin serine protease 2
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9
O00299,CLIC1,Chloride intracellular channel protein 1
O00339,MATN2,Matrilin-2
O00391,QSOX1,Sulfhydryl oxidase 1
O00462,MANBA,Beta-mannosidase
O00533,CHL1,Neural cell adhesion molecule L1-like protein
O00584,RNASET2,Ribonuclease T2
O00592,PODXL,Podocalyxin
O00748,CES2,Cocaine esterase
O14498,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein
O14618,CCS,Copper chaperone for superoxide dismutase
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10
O14786,NRP1,Neuropilin-1
O14791,APOL1,Apolipoprotein L1
O14818,PSMA7,Proteasome subunit alpha type-7
O14960,LECT2,Leukocyte cell-derived chemotaxin-2
O15031,PLXNB2,Plexin-B2
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B
O15204,ADAMDEC1,ADAM DEC1
O15379,HDAC3,Histone deacetylase 3
O15394,NCAM2,Neural cell adhesion molecule 2
O15440,ABCC5,ATP-binding cassette sub-family C member 5
O15442,MPPED1,Metallophosphoesterase domain-containing protein 1
O15467,CCL16,C-C motif chemokine 16
O43157,PLXNB1,Plexin-B1
O43184,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12
O43278,SPINT1,Kunitz-type protease inhibitor 1
O43280,TREH,Trehalase
O43493,TGOLN2,Trans-Golgi network integral membrane protein 2
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1"
O43852,CALU,Calumenin
O43866,CD5L,CD5 antigen-like
O43895,XPNPEP2,Xaa-Pro aminopeptidase 2
O43909,EXTL3,Exostosin-like 3
O60279,SUSD5,Sushi domain-containing protein 5
O60462,NRP2,Neuropilin-2
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4
O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1
O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B
O75023,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5
O75051,PLXNA2,Plexin-A2
O75144,ICOSLG,ICOS ligand
O75326,SEMA7A,Semaphorin-7A
O75339,CILP,Cartilage intermediate layer protein 1
O75340,PDCD6,Programmed cell death protein 6
O75347,TBCA,Tubulin-specific chaperone A
O75368,SH3BGRL,Adapter SH3BGRL
O75503,CLN5,Bis(monoacylglycero)phosphate synthase CLN5
O75636,FCN3,Ficolin-3
O75689,ADAP1,Arf-GAP with dual PH domain-containing protein 1
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic
O75954,TSPAN9,Tetraspanin-9
O75976,CPD,Carboxypeptidase D
O76003,GLRX3,Glutaredoxin-3
O76061,STC2,Stanniocalcin-2
O94766,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
O94898,LRIG2,Leucine-rich repeats and immunoglobulin-like domains protein 2
O94985,CLSTN1,Calsyntenin-1
O95274,LYPD3,Ly6/PLAUR domain-containing protein 3
O95428,PAPLN,Papilin
O95445,APOM,Apolipoprotein M
O95477,ABCA1,Phospholipid-transporting ATPase ABCA1
O95479,H6PD,GDH/6PGL endoplasmic bifunctional protein
O95497,VNN1,Pantetheinase
O95782,AP2A1,AP-2 complex subunit alpha-1
O95897,OLFM2,Noelin-2
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs
O95996,APC2,Adenomatous polyposis coli protein 2
P00338,LDHA,L-lactate dehydrogenase A chain
P00390,GSR,"Glutathione reductase, mitochondrial"
P00450,CP,Ceruloplasmin
P00451,F8,Coagulation factor VIII
P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase
P00533,EGFR,Epidermal growth factor receptor
P00568,AK1,Adenylate kinase isoenzyme 1
P00709,LALBA,Alpha-lactalbumin
P00736,C1R,Complement C1r subcomponent
P00738,HP,Haptoglobin
P00739,HPR,Haptoglobin-related protein
P00740,F9,Coagulation factor IX
P00742,F10,Coagulation factor X
P00746,CFD,Complement factor D
P00747,PLG,Plasminogen
P00748,F12,Coagulation factor XII
P00751,CFB,Complement factor B
P01009,SERPINA1,Alpha-1-antitrypsin
P01011,SERPINA3,Alpha-1-antichymotrypsin
P01019,AGT,Angiotensinogen
P01023,A2M,Alpha-2-macroglobulin
P01024,C3,Complement C3
P01031,C5,Complement C5
P01033,TIMP1,Metalloproteinase inhibitor 1
P01042,KNG1,Kininogen-1
P01137,TGFB1,Transforming growth factor beta-1 proprotein
P01215,CGA,Glycoprotein hormones alpha chain
P01236,PRL,Prolactin
P01344,IGF2,Insulin-like growth factor 2
P01591,JCHAIN,Immunoglobulin J chain
P01599,IGKV1-17,Immunoglobulin kappa variable 1-17
P01602,IGKV1-5,Immunoglobulin kappa variable 1-5
P01619,IGKV3-20,Immunoglobulin kappa variable 3-20
P01699,IGLV1-44,Immunoglobulin lambda variable 1-44
P01700,IGLV1-47,Immunoglobulin lambda variable 1-47
P01701,IGLV1-51,Immunoglobulin lambda variable 1-51
P01703,IGLV1-40,Immunoglobulin lambda variable 1-40
P01706,IGLV2-11,Immunoglobulin lambda variable 2-11
P01709,IGLV2-8,Immunoglobulin lambda variable 2-8
P01714,IGLV3-19,Immunoglobulin lambda variable 3-19
P01715,IGLV3-1,Immunoglobulin lambda variable 3-1
P01717,IGLV3-25,Immunoglobulin lambda variable 3-25
P01721,IGLV6-57,Immunoglobulin lambda variable 6-57
P01742,IGHV1-69,Immunoglobulin heavy variable 1-69
P01743,IGHV1-46,Immunoglobulin heavy variable 1-46
P01764,IGHV3-23,Immunoglobulin heavy variable 3-23
P01766,IGHV3-13,Immunoglobulin heavy variable 3-13
P01772,IGHV3-33,Immunoglobulin heavy variable 3-33
P01780,IGHV3-7,Immunoglobulin heavy variable 3-7
P01782,IGHV3-9,Immunoglobulin heavy variable 3-9
P01817,IGHV2-5,Immunoglobulin heavy variable 2-5
P01833,PIGR,Polymeric immunoglobulin receptor
P01834,IGKC,Immunoglobulin kappa constant
P01859,IGHG2,Immunoglobulin heavy constant gamma 2
P01860,IGHG3,Immunoglobulin heavy constant gamma 3
P01861,IGHG4,Immunoglobulin heavy constant gamma 4
P01871,IGHM,Immunoglobulin heavy constant mu
P01876,IGHA1,Immunoglobulin heavy constant alpha 1
P01889,HLA-B,"HLA class I histocompatibility antigen, B alpha chain"
P01911,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1 beta chain"
P01920,HLA-DQB1,"HLA class II histocompatibility antigen, DQ beta 1 chain"
P02144,MB,Myoglobin
P02452,COL1A1,Collagen alpha-1(I) chain
P02461,COL3A1,Collagen alpha-1(III) chain
P02647,APOA1,Apolipoprotein A-I
P02649,APOE,Apolipoprotein E
P02652,APOA2,Apolipoprotein A-II
P02654,APOC1,Apolipoprotein C-I
P02655,APOC2,Apolipoprotein C-II
P02741,CRP,C-reactive protein
P02743,APCS,Serum amyloid P-component
P02745,C1QA,Complement C1q subcomponent subunit A
P02746,C1QB,Complement C1q subcomponent subunit B
P02747,C1QC,Complement C1q subcomponent subunit C
P02748,C9,Complement component C9
P02749,APOH,Beta-2-glycoprotein 1
P02750,LRG1,Leucine-rich alpha-2-glycoprotein
P02751,FN1,Fibronectin
P02753,RBP4,Retinol-binding protein 4
P02760,AMBP,Protein AMBP
P02763,ORM1,Alpha-1-acid glycoprotein 1
P02765,AHSG,Alpha-2-HS-glycoprotein
P02766,TTR,Transthyretin
P02768,ALB,Albumin
P02774,GC,Vitamin D-binding protein
P02786,TFRC,Transferrin receptor protein 1
P02787,TF,Serotransferrin
P02790,HPX,Hemopexin
P03950,ANG,Angiogenin
P03952,KLKB1,Plasma kallikrein
P04003,C4BPA,C4b-binding protein alpha chain
P04004,VTN,Vitronectin
P04062,GBA1,Lysosomal acid glucosylceramidase
P04066,FUCA1,Tissue alpha-L-fucosidase
P04080,CSTB,Cystatin-B
P04090,RLN2,Prorelaxin H2
P04114,APOB,Apolipoprotein B-100
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial"
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase
P04196,HRG,Histidine-rich glycoprotein
P04211,IGLV7-43,Immunoglobulin lambda variable 7-43
P04216,THY1,Thy-1 membrane glycoprotein
P04217,A1BG,Alpha-1B-glycoprotein
P04275,VWF,von Willebrand factor
P04278,SHBG,Sex hormone-binding globulin
P04424,ASL,Argininosuccinate lyase
P04430,IGKV1-16,Immunoglobulin kappa variable 1-16
P04433,IGKV3-11,Immunoglobulin kappa variable 3-11
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain"
P04632,CAPNS1,Calpain small subunit 1
P04792,HSPB1,Heat shock protein beta-1
P05062,ALDOB,Fructose-bisphosphate aldolase B
P05067,APP,Amyloid-beta precursor protein
P05090,APOD,Apolipoprotein D
P05107,ITGB2,Integrin beta-2
P05109,S100A8,Protein S100-A8
P05120,SERPINB2,Plasminogen activator inhibitor 2
P05121,SERPINE1,Plasminogen activator inhibitor 1
P05155,SERPING1,Plasma protease C1 inhibitor
P05156,CFI,Complement factor I
P05160,F13B,Coagulation factor XIII B chain
P05187,ALPP,"Alkaline phosphatase, placental type"
P05362,ICAM1,Intercellular adhesion molecule 1
P05451,REG1A,Lithostathine-1-alpha
P05452,CLEC3B,Tetranectin
P05543,SERPINA7,Thyroxine-binding globulin
P05546,SERPIND1,Heparin cofactor 2
P05556,ITGB1,Integrin beta-1
P06280,GLA,Alpha-galactosidase A
P06310,IGKV2-30,Immunoglobulin kappa variable 2-30
P06312,IGKV4-1,Immunoglobulin kappa variable 4-1
P06396,GSN,Gelsolin
P06576,ATP5F1B,"ATP synthase F(1) complex subunit beta, mitochondrial"
P06681,C2,Complement C2
P06702,S100A9,Protein S100-A9
P06727,APOA4,Apolipoprotein A-IV
P06732,CKM,Creatine kinase M-type
P06733,ENO1,Alpha-enolase
P06744,GPI,Glucose-6-phosphate isomerase
P06748,NPM1,Nucleophosmin
P06753,TPM3,Tropomyosin alpha-3 chain
P06850,CRH,Corticoliberin
P06858,LPL,Lipoprotein lipase
P06865,HEXA,Beta-hexosaminidase subunit alpha
P07093,SERPINE2,Glia-derived nexin
P07148,FABP1,"Fatty acid-binding protein, liver"
P07203,GPX1,Glutathione peroxidase 1
P07225,PROS1,Vitamin K-dependent protein S
P07237,P4HB,Protein disulfide-isomerase
P07307,ASGR2,Asialoglycoprotein receptor 2
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor
P07339,CTSD,Cathepsin D
P07357,C8A,Complement component C8 alpha chain
P07358,C8B,Complement component C8 beta chain
P07360,C8G,Complement component C8 gamma chain
P07384,CAPN1,Calpain-1 catalytic subunit
P07437,TUBB,Tubulin beta chain
P07451,CA3,Carbonic anhydrase 3
P07476,IVL,Involucrin
P07478,PRSS2,Trypsin-2
P07602,PSAP,Prosaposin
P07686,HEXB,Beta-hexosaminidase subunit beta
P07858,CTSB,Cathepsin B
P07911,UMOD,Uromodulin
P07942,LAMB1,Laminin subunit beta-1
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret
P07951,TPM2,Tropomyosin beta chain
P07998,RNASE1,Ribonuclease pancreatic
P08174,CD55,Complement decay-accelerating factor
P08185,SERPINA6,Corticosteroid-binding globulin
P08195,SLC3A2,Amino acid transporter heavy chain SLC3A2
P08217,CELA2A,Chymotrypsin-like elastase family member 2A
P08236,GUSB,Beta-glucuronidase
P08238,HSP90AB1,Heat shock protein HSP 90-beta
P08253,MMP2,72 kDa type IV collagenase
P08294,SOD3,Extracellular superoxide dismutase [Cu-Zn]
P08311,CTSG,Cathepsin G
P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4
P08397,HMBS,Porphobilinogen deaminase
P08476,INHBA,Inhibin beta A chain
P08493,MGP,Matrix Gla protein
P08519,LPA,Apolipoprotein(a)
P08571,CD14,Monocyte differentiation antigen CD14
P08572,COL4A2,Collagen alpha-2(IV) chain
P08581,MET,Hepatocyte growth factor receptor
P08603,CFH,Complement factor H
P08637,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A
P08697,SERPINF2,Alpha-2-antiplasmin
P08709,F7,Coagulation factor VII
P08833,IGFBP1,Insulin-like growth factor-binding protein 1
P09172,DBH,Dopamine beta-hydroxylase
P09382,LGALS1,Galectin-1
P09466,PAEP,Glycodelin
P09486,SPARC,SPARC
P09493,TPM1,Tropomyosin alpha-1 chain
P09603,CSF1,Macrophage colony-stimulating factor 1
P09619,PDGFRB,Platelet-derived growth factor receptor beta
P09668,CTSH,Pro-cathepsin H
P09681,GIP,Gastric inhibitory polypeptide
P09871,C1S,Complement C1s subcomponent
P09923,ALPI,Intestinal-type alkaline phosphatase
P09960,LTA4H,Leukotriene A-4 hydrolase
P0C0L4,C4A,Complement C4-A
P0C0L5,C4B,Complement C4-B
P0CG04,IGLC1,Immunoglobulin lambda constant 1
P0DJI8,SAA1,Serum amyloid A-1 protein
P0DJI9,SAA2,Serum amyloid A-2 protein
P0DKX4,SMIM18,Small integral membrane protein 18
P0DOX2,,Immunoglobulin alpha-2 heavy chain
P0DOX3,,Immunoglobulin delta heavy chain
P0DOX4,,Immunoglobulin epsilon heavy chain
P0DOX5,,Immunoglobulin gamma-1 heavy chain
P0DOX6,,Immunoglobulin mu heavy chain
P0DOX7,,Immunoglobulin kappa light chain
P0DOX8,,Immunoglobulin lambda-1 light chain
P0DOY3,IGLC3,Immunoglobulin lambda constant 3
P0DP08,IGHV4-38-2,Immunoglobulin heavy variable 4-38-2
P0DTE1,IGHV3-38-3,Probable non-functional immunoglobulin heavy variable 3-38-3
P10124,SRGN,Serglycin
P10321,HLA-C,"HLA class I histocompatibility antigen, C alpha chain"
P10323,ACR,Acrosin
P10451,SPP1,Osteopontin
P10586,PTPRF,Receptor-type tyrosine-protein phosphatase F
P10599,TXN,Thioredoxin
P10619,CTSA,Lysosomal protective protein
P10632,CYP2C8,Cytochrome P450 2C8
P10643,C7,Complement component C7
P10645,CHGA,Chromogranin-A
P10646,TFPI,Tissue factor pathway inhibitor
P10721,KIT,Mast/stem cell growth factor receptor Kit
P10912,GHR,Growth hormone receptor
P11021,HSPA5,Endoplasmic reticulum chaperone BiP
P11047,LAMC1,Laminin subunit gamma-1
P11172,UMPS,Uridine 5'-monophosphate synthase
P11215,ITGAM,Integrin alpha-M
P11226,MBL2,Mannose-binding protein C
P11234,RALB,Ras-related protein Ral-B
P11279,LAMP1,Lysosome-associated membrane glycoprotein 1
P11362,FGFR1,Fibroblast growth factor receptor 1
P11464,PSG1,Pregnancy-specific beta-1-glycoprotein 1
P11465,PSG2,Pregnancy-specific beta-1-glycoprotein 2
P11597,CETP,Cholesteryl ester transfer protein
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor
P12109,COL6A1,Collagen alpha-1(VI) chain
P12110,COL6A2,Collagen alpha-2(VI) chain
P12111,COL6A3,Collagen alpha-3(VI) chain
P12259,F5,Coagulation factor V
P12273,PIP,Prolactin-inducible protein
P12318,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a
P12814,ACTN1,Alpha-actinin-1
P12821,ACE,Angiotensin-converting enzyme
P12830,CDH1,Cadherin-1
P12955,PEPD,Xaa-Pro dipeptidase
P13224,GP1BB,Platelet glycoprotein Ib beta chain
P13473,LAMP2,Lysosome-associated membrane glycoprotein 2
P13489,RNH1,Ribonuclease inhibitor
P13497,BMP1,Bone morphogenetic protein 1
P13501,CCL5,C-C motif chemokine 5
P13521,SCG2,Secretogranin-2
P13569,CFTR,Cystic fibrosis transmembrane conductance regulator
P13591,NCAM1,Neural cell adhesion molecule 1
P13598,ICAM2,Intercellular adhesion molecule 2
P13611,VCAN,Versican core protein
P13667,PDIA4,Protein disulfide-isomerase A4
P13671,C6,Complement component C6
P13688,CEACAM1,Cell adhesion molecule CEACAM1
P13727,PRG2,Bone marrow proteoglycan
P13796,LCP1,Plastin-2
P13797,PLS3,Plastin-3
P13987,CD59,CD59 glycoprotein
P14151,SELL,L-selectin
P14174,MIF,Macrophage migration inhibitory factor
P14207,FOLR2,Folate receptor beta
P14209,CD99,CD99 antigen
P14314,PRKCSH,Glucosidase 2 subunit beta
P14384,CPM,Carboxypeptidase M
P14543,NID1,Nidogen-1
P14625,HSP90B1,Endoplasmin
P14780,MMP9,Matrix metalloproteinase-9
P15144,ANPEP,Aminopeptidase N
P15151,PVR,Poliovirus receptor
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2
P15169,CPN1,Carboxypeptidase N catalytic chain
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1"
P15531,NME1,Nucleoside diphosphate kinase A
P15814,IGLL1,Immunoglobulin lambda-like polypeptide 1
P15907,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1"
P16035,TIMP2,Metalloproteinase inhibitor 2
P16070,CD44,CD44 antigen
P16112,ACAN,Aggrecan core protein
P16152,CBR1,Carbonyl reductase [NADPH] 1
P16284,PECAM1,Platelet endothelial cell adhesion molecule
P16930,FAH,Fumarylacetoacetase
P17174,GOT1,"Aspartate aminotransferase, cytoplasmic"
P17301,ITGA2,Integrin alpha-2
P17405,SMPD1,Sphingomyelin phosphodiesterase
P17544,ATF7,Cyclic AMP-dependent transcription factor ATF-7
P17655,CAPN2,Calpain-2 catalytic subunit
P17813,ENG,Endoglin
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type"
P17900,GM2A,Ganglioside GM2 activator
P17931,LGALS3,Galectin-3
P17936,IGFBP3,Insulin-like growth factor-binding protein 3
P18065,IGFBP2,Insulin-like growth factor-binding protein 2
P18085,ARF4,ADP-ribosylation factor 4
P18428,LBP,Lipopolysaccharide-binding protein
P18850,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase
P19022,CDH2,Cadherin-2
P19256,CD58,Lymphocyte function-associated antigen 3
P19320,VCAM1,Vascular cell adhesion protein 1
P19652,ORM2,Alpha-1-acid glycoprotein 2
P19801,AOC1,Diamine oxidase [copper-containing]
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1
P19883,FST,Follistatin
P19961,AMY2B,Alpha-amylase 2B
P19971,TYMP,Thymidine phosphorylase
P20023,CR2,Complement receptor type 2
P20062,TCN2,Transcobalamin-2
P20339,RAB5A,Ras-related protein Rab-5A
P20742,PZP,Pregnancy zone protein
P20774,OGN,Mimecan
P20851,C4BPB,C4b-binding protein beta chain
P20933,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
P21128,ENDOU,Uridylate-specific endoribonuclease
P21291,CSRP1,Cysteine and glycine-rich protein 1
P21399,ACO1,Cytoplasmic aconitate hydratase
P21583,KITLG,Kit ligand
P21709,EPHA1,Ephrin type-A receptor 1
P21810,BGN,Biglycan
P22004,BMP6,Bone morphogenetic protein 6
P22105,TNXB,Tenascin-X
P22304,IDS,Iduronate 2-sulfatase
P22352,GPX3,Glutathione peroxidase 3
P22455,FGFR4,Fibroblast growth factor receptor 4
P22692,IGFBP4,Insulin-like growth factor-binding protein 4
P22792,CPN2,Carboxypeptidase N subunit 2
P22891,PROZ,Vitamin K-dependent protein Z
P22894,MMP8,Neutrophil collagenase
P22897,MRC1,Macrophage mannose receptor 1
P23083,IGHV1-2,Immunoglobulin heavy variable 1-2
P23141,CES1,Liver carboxylesterase 1
P23142,FBLN1,Fibulin-1
P23280,CA6,Carbonic anhydrase 6
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B
P23381,WARS1,"Tryptophan--tRNA ligase, cytoplasmic"
P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta
P23470,PTPRG,Receptor-type tyrosine-protein phosphatase gamma
P23526,AHCY,Adenosylhomocysteinase
P24043,LAMA2,Laminin subunit alpha-2
P24298,GPT,Alanine aminotransferase 1
P24387,CRHBP,Corticotropin-releasing factor-binding protein
P24592,IGFBP6,Insulin-like growth factor-binding protein 6
P24593,IGFBP5,Insulin-like growth factor-binding protein 5
P24821,TNC,Tenascin
P25311,AZGP1,Zinc-alpha-2-glycoprotein
P25774,CTSS,Cathepsin S
P25786,PSMA1,Proteasome subunit alpha type-1
P25787,PSMA2,Proteasome subunit alpha type-2
P25788,PSMA3,Proteasome subunit alpha type-3
P25789,PSMA4,Proteasome subunit alpha type-4
P25791,LMO2,Rhombotin-2
P25815,S100P,Protein S100-P
P26038,MSN,Moesin
P26447,S100A4,Protein S100-A4
P26572,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
P26639,TARS1,"Threonine--tRNA ligase 1, cytoplasmic"
P26927,MST1,Hepatocyte growth factor-like protein
P27169,PON1,Serum paraoxonase/arylesterase 1
P27487,DPP4,Dipeptidyl peptidase 4
P27658,COL8A1,Collagen alpha-1(VIII) chain
P27797,CALR,Calreticulin
P27918,CFP,Properdin
P28066,PSMA5,Proteasome subunit alpha type-5
P28072,PSMB6,Proteasome subunit beta type-6
P28799,GRN,Progranulin
P28827,PTPRM,Receptor-type tyrosine-protein phosphatase mu
P28838,LAP3,Cytosol aminopeptidase
P29401,TKT,Transketolase
P29622,SERPINA4,Kallistatin
P30040,ERP29,Endoplasmic reticulum resident protein 29
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial"
P30046,DDT,D-dopachrome decarboxylase
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1
P30101,PDIA3,Protein disulfide-isomerase A3
P30622,CLIP1,CAP-Gly domain-containing linker protein 1
P30626,SRI,Sorcin
P30740,SERPINB1,Leukocyte elastase inhibitor
P30990,NTS,Neurotensin/neuromedin N
P31025,LCN1,Lipocalin-1
P31146,CORO1A,Coronin-1A
P31946,YWHAB,14-3-3 protein beta/alpha
P31949,S100A11,Protein S100-A11
P32004,L1CAM,Neural cell adhesion molecule L1
P32942,ICAM3,Intercellular adhesion molecule 3
P35030,PRSS3,Trypsin-3
P35269,GTF2F1,General transcription factor IIF subunit 1
P35443,THBS4,Thrombospondin-4
P35520,CBS,Cystathionine beta-synthase
P35542,SAA4,Serum amyloid A-4 protein
P35555,FBN1,Fibrillin-1
P35556,FBN2,Fibrillin-2
P35613,BSG,Basigin
P35858,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit
P35900,KRT20,"Keratin, type I cytoskeletal 20"
P35916,FLT4,Vascular endothelial growth factor receptor 3
P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
P36955,SERPINF1,Pigment epithelium-derived factor
P36980,CFHR2,Complement factor H-related protein 2
P37837,TALDO1,Transaldolase
P37840,SNCA,Alpha-synuclein
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A
P39059,COL15A1,Collagen alpha-1(XV) chain
P39060,COL18A1,Collagen alpha-1(XVIII) chain
P40189,IL6ST,Interleukin-6 receptor subunit beta
P40227,CCT6A,T-complex protein 1 subunit zeta
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8
P40925,MDH1,"Malate dehydrogenase, cytoplasmic"
P40967,PMEL,Melanocyte protein PMEL
P41159,LEP,Leptin
P41222,PTGDS,Prostaglandin-H2 D-isomerase
P41271,NBL1,Neuroblastoma suppressor of tumorigenicity 1
P42785,PRCP,Lysosomal Pro-X carboxypeptidase
P43121,MCAM,Cell surface glycoprotein MUC18
P43251,BTD,Biotinidase
P43358,MAGEA4,Melanoma-associated antigen 4
